2023-01-14 08:59:08.989 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.84, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:08.149 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.16, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:08.289 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:08.429 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.570 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.709 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.849 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.989 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.149 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.16, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.289 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:09.429 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.569 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.709 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.850 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.989 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.219 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.23, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.230 [data MotorPlugin:0] /motor/RIGHT/velocity_error, 1.00, cumulative_velocity_error, 0.23, smallness, 0.20, control, 13.99
2023-01-14 08:59:10.429 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.21, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:10.439 [data MotorPlugin:0] /motor/RIGHT/velocity_error, 1.00, cumulative_velocity_error, 0.44, smallness, 0.20, control, 73.44
2023-01-14 08:59:11.569 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:11.580 [data MotorPlugin:0] /motor/RIGHT/velocity_error, 1.00, cumulative_velocity_error, 0.58, smallness, 0.20, control, 76.12
2023-01-14 08:59:11.709 [data MotorPlugin:0] /motor/RIGHT/delta_seconds, 0.14, speed_counter, 0, measured_velocity, 0.00, measured_distance, 0.00
2023-01-14 08:59:11.719 [data MotorPlugin:0] /motor/RIGHT/velocity_error, 1.00, cumulative_velocity_error, 0.72, smallness, 0.20, control, 78.79
